2025-09-01 19:52:03.053 | INFO     | __main__:processar_cdt:63 - Iniciando automação da aba: CDT
2025-09-01 19:52:03.963 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 22988817000152
2025-09-01 19:52:05.551 | INFO     | __main__:processar_cdt:95 - Captcha lido: 'Captcha para permitir a consulta.'
2025-09-01 19:55:24.224 | INFO     | __main__:processar_cdt:64 - Iniciando automação da aba: CDT
2025-09-01 19:55:25.106 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:55:30.172 | INFO     | __main__:processar_cdt:100 - Captcha lido: 'nb fCSIRV'
2025-09-01 19:55:53.562 | INFO     | __main__:processar_cdt:64 - Iniciando automação da aba: CDT
2025-09-01 19:55:54.464 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:55:59.651 | INFO     | __main__:processar_cdt:100 - Captcha lido: 'n yeiyal wes'
2025-09-01 19:57:16.601 | INFO     | __main__:processar_cdt:64 - Iniciando automação da aba: CDT
2025-09-01 19:57:17.474 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:57:22.586 | INFO     | __main__:processar_cdt:100 - Captcha lido: 'OWES'
2025-09-01 19:57:48.858 | INFO     | __main__:processar_cdt:64 - Iniciando automação da aba: CDT
2025-09-01 19:57:49.750 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:57:54.861 | INFO     | __main__:processar_cdt:100 - Captcha lido: 'tel 8 Mra ox'
2025-09-01 19:58:26.396 | ERROR    | __main__:processar_cdt:141 - 22988817000152 → ERRO: TimeoutError: Timeout 30000ms exceeded while waiting for event "page"
2025-09-01 19:58:26.397 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 24061787000160
2025-09-01 19:58:26.400 | ERROR    | __main__:processar_cdt:141 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.401 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 61745095000167
2025-09-01 19:58:26.403 | ERROR    | __main__:processar_cdt:141 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.405 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 07098574000193
2025-09-01 19:58:26.407 | ERROR    | __main__:processar_cdt:141 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.409 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 61289975000176
2025-09-01 19:58:26.411 | ERROR    | __main__:processar_cdt:141 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.412 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 32181064000122
2025-09-01 19:58:26.414 | ERROR    | __main__:processar_cdt:141 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.416 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 45880695000181
2025-09-01 19:58:26.418 | ERROR    | __main__:processar_cdt:141 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.419 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 11999645000104
2025-09-01 19:58:26.421 | ERROR    | __main__:processar_cdt:141 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.422 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 41070149000124
2025-09-01 19:58:26.424 | ERROR    | __main__:processar_cdt:141 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.425 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 00060631600272
2025-09-01 19:58:26.427 | ERROR    | __main__:processar_cdt:141 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.429 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 47274662000113
2025-09-01 19:58:26.432 | ERROR    | __main__:processar_cdt:141 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.433 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 38112365000180
2025-09-01 19:58:26.435 | ERROR    | __main__:processar_cdt:141 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.437 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 30080700000102
2025-09-01 19:58:26.439 | ERROR    | __main__:processar_cdt:141 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.441 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 43023281000100
2025-09-01 19:58:26.444 | ERROR    | __main__:processar_cdt:141 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.446 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 35856232000120
2025-09-01 19:58:26.451 | ERROR    | __main__:processar_cdt:141 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.453 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 51516274000179
2025-09-01 19:58:26.455 | ERROR    | __main__:processar_cdt:141 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.457 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 53165195000196
2025-09-01 19:58:26.459 | ERROR    | __main__:processar_cdt:141 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.460 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 09461099000101
2025-09-01 19:58:26.462 | ERROR    | __main__:processar_cdt:141 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.463 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 21967775000100
2025-09-01 19:58:26.465 | ERROR    | __main__:processar_cdt:141 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.467 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 38059475000126
2025-09-01 19:58:26.469 | ERROR    | __main__:processar_cdt:141 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.470 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 47766186000158
2025-09-01 19:58:26.472 | ERROR    | __main__:processar_cdt:141 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.473 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 00000863578241
2025-09-01 19:58:26.475 | ERROR    | __main__:processar_cdt:141 - 00000863578241 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.477 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 41505475000117
2025-09-01 19:58:26.479 | ERROR    | __main__:processar_cdt:141 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.480 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 50992729000160
2025-09-01 19:58:26.482 | ERROR    | __main__:processar_cdt:141 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.483 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 00058886621272
2025-09-01 19:58:26.485 | ERROR    | __main__:processar_cdt:141 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.487 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 17871432000170
2025-09-01 19:58:26.489 | ERROR    | __main__:processar_cdt:141 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.491 | INFO     | __main__:processar_cdt:81 - Consultando CNPJ: 05962437000120
2025-09-01 19:58:26.493 | ERROR    | __main__:processar_cdt:141 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:58:26.626 | INFO     | __main__:processar_cdt:147 - Processo concluído.
2025-09-01 20:00:49.789 | INFO     | __main__:processar_cdt:79 - Iniciando automação da aba: CDT
2025-09-01 20:00:50.700 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 22988817000152
2025-09-01 20:00:55.817 | ERROR    | __main__:processar_cdt:156 - 22988817000152 → ERRO: NameError: name 'cv2' is not defined
2025-09-01 20:00:55.820 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 24061787000160
2025-09-01 20:00:59.720 | ERROR    | __main__:processar_cdt:156 - 24061787000160 → ERRO: NameError: name 'cv2' is not defined
2025-09-01 20:00:59.723 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 61745095000167
2025-09-01 20:01:03.616 | ERROR    | __main__:processar_cdt:156 - 61745095000167 → ERRO: NameError: name 'cv2' is not defined
2025-09-01 20:01:03.617 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 07098574000193
2025-09-01 20:01:05.946 | ERROR    | __main__:processar_cdt:156 - 07098574000193 → ERRO: TargetClosedError: Locator.screenshot: Target page, context or browser has been closed
2025-09-01 20:01:05.948 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 61289975000176
2025-09-01 20:01:05.950 | ERROR    | __main__:processar_cdt:156 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.951 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 32181064000122
2025-09-01 20:01:05.952 | ERROR    | __main__:processar_cdt:156 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.953 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 45880695000181
2025-09-01 20:01:05.955 | ERROR    | __main__:processar_cdt:156 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.956 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 11999645000104
2025-09-01 20:01:05.958 | ERROR    | __main__:processar_cdt:156 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.960 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 41070149000124
2025-09-01 20:01:05.962 | ERROR    | __main__:processar_cdt:156 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.964 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 00060631600272
2025-09-01 20:01:05.966 | ERROR    | __main__:processar_cdt:156 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.968 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 47274662000113
2025-09-01 20:01:05.970 | ERROR    | __main__:processar_cdt:156 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.971 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 38112365000180
2025-09-01 20:01:05.973 | ERROR    | __main__:processar_cdt:156 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.974 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 30080700000102
2025-09-01 20:01:05.976 | ERROR    | __main__:processar_cdt:156 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.978 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 43023281000100
2025-09-01 20:01:05.981 | ERROR    | __main__:processar_cdt:156 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.983 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 35856232000120
2025-09-01 20:01:05.986 | ERROR    | __main__:processar_cdt:156 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:01:05.987 | INFO     | __main__:processar_cdt:96 - Consultando CNPJ: 51516274000179
2025-09-01 20:01:05.990 | ERROR    | __main__:processar_cdt:156 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
